from	to	type
PTCHD1	ITPR1	Shared
BRINP3	RBFOX1	Tumor-specific
CRYBG3	RBFOX1	Shared
CXCL14	RBFOX1	Tumor-specific
HIST1H3I	RBFOX1	Normal-specific
RBFOX1	B4GALT6	Shared
RBFOX1	RASGRF1	Shared
RBFOX1	KIF20A	Shared
GABRG1	LRRTM2	Shared
CD24	LRRTM2	Normal-specific
HIST1H3I	LRRTM2	Normal-specific
ENPP2	LRRTM2	Shared
B4GALT6	ABAT	Shared
CALN1	ABAT	Tumor-specific
MGP	SCN3B	Tumor-specific
PTPRO	SCN3B	Shared
BRINP3	SCN3B	Shared
CXCL14	SCN3B	Shared
CD24	SCN3B	Shared
HIST1H3I	SCN3B	Normal-specific
HIST1H4D	SCN3B	Shared
PDE4DIP	SCN3B	Shared
HIST1H3B	SCN3B	Normal-specific
LRRTM2	SCN3B	Shared
SCN3B	MYRIP	Tumor-specific
SCN3B	DLG2	Shared
SCN3B	NPY1R	Shared
SCN3B	KIF20A	Tumor-specific
PTPRO	RGMB	Normal-specific
BRINP3	RGMB	Shared
CLVS2	RGMB	Tumor-specific
CD24	RGMB	Shared
HIST1H3I	RGMB	Shared
HIST1H4L	RGMB	Shared
ENPP2	RGMB	Tumor-specific
RGMB	CASZ1	Shared
RGMB	NPY1R	Shared
RGMB	F2R	Shared
RGMB	ABAT	Shared
CLVS2	CYP1B1	Tumor-specific
MGP	RASGRF1	Shared
CRYBG3	RASGRF1	Shared
CXCL14	RASGRF1	Tumor-specific
PDE4DIP	RASGRF1	Shared
HIST1H3B	RASGRF1	Shared
PTCHD1	RASGRF1	Shared
B4GALT6	RASGRF1	Shared
CALN1	RASGRF1	Shared
RASGRF1	CDH20	Shared
RASGRF1	HIST1H1B	Shared
RASGRF1	MYRIP	Shared
RASGRF1	CASZ1	Shared
RASGRF1	DLG2	Shared
RASGRF1	KIF20A	Shared
RASGRF1	F2R	Shared
BRINP3	CDH20	Shared
CDH20	ABAT	Shared
HIST1H1B	DLG2	Shared
MGP	MYRIP	Tumor-specific
HIST1H3B	MYRIP	Shared
HIST1H4L	MYRIP	Normal-specific
B4GALT6	MYRIP	Shared
MYRIP	LDHB	Shared
SEMA3A	SLC6A1	Shared
BRINP3	SLC6A1	Shared
GABRG1	SLC6A1	Shared
PDE4DIP	SLC6A1	Shared
LRRTM2	SLC6A1	Shared
CALN1	SLC6A1	Shared
RASGRF1	SLC6A1	Shared
SLC6A1	PCLAF	Shared
SLC6A1	SLC1A6	Shared
SLC6A1	DLG2	Shared
SLC6A1	KIF20A	Shared
SLC6A1	ELMO1	Shared
SLC6A1	ITPR1	Shared
SLC6A1	ABAT	Shared
GABRG1	LDHB	Shared
CXCL14	LDHB	Tumor-specific
B4GALT6	LDHB	Shared
CALN1	LDHB	Shared
LDHB	ITPR1	Shared
MGP	PCDHB6	Tumor-specific
PCDHB16	PCDHB6	Shared
HIST1H4D	PCDHB6	Shared
HIST1H4L	PCDHB6	Shared
CALN1	PCDHB6	Shared
MYRIP	PCDHB6	Shared
LDHB	PCDHB6	Shared
MGP	PCLAF	Shared
BRINP3	PCLAF	Shared
GABRG1	PCLAF	Shared
CXCL14	PCLAF	Shared
CD24	PCLAF	Shared
HIST1H3B	PCLAF	Shared
CALN1	PCLAF	Shared
HIST1H1B	PCLAF	Shared
PCLAF	KIF20A	Shared
PCLAF	ITPR1	Shared
PCLAF	ABAT	Shared
MGP	SLC1A6	Shared
PTPRO	SLC1A6	Shared
BRINP3	SLC1A6	Normal-specific
SIX1	SLC1A6	Tumor-specific
HIST1H3I	SLC1A6	Normal-specific
HIST1H4D	SLC1A6	Shared
PDE4DIP	SLC1A6	Shared
HIST1H4L	SLC1A6	Normal-specific
LRRTM2	SLC1A6	Shared
SCN3B	SLC1A6	Shared
RGMB	SLC1A6	Shared
SLC1A6	DLG2	Shared
SLC1A6	ITPR1	Shared
SLC1A6	ABAT	Shared
PTPRO	STMN2	Tumor-specific
CLVS2	STMN2	Tumor-specific
CD24	STMN2	Shared
POU4F2	STMN2	Shared
HIST1H3I	STMN2	Shared
HIST1H3B	STMN2	Shared
HIST1H4L	STMN2	Shared
RBFOX1	STMN2	Tumor-specific
SCN3B	STMN2	Shared
RGMB	STMN2	Shared
CYP1B1	STMN2	Shared
CASZ1	STMN2	Tumor-specific
STMN2	DLG2	Shared
STMN2	NPY1R	Shared
STMN2	SLC7A14	Tumor-specific
MGP	SYNE1	Shared
PTPRO	SYNE1	Tumor-specific
BRINP3	SYNE1	Shared
HIST1H3I	SYNE1	Shared
PDE4DIP	SYNE1	Shared
HIST1H4L	SYNE1	Normal-specific
PTCHD1	SYNE1	Shared
CALN1	SYNE1	Shared
RASGRF1	SYNE1	Shared
HIST1H1B	SYNE1	Shared
MYRIP	SYNE1	Shared
SYNE1	DLG2	Shared
SYNE1	KIF20A	Shared
SYNE1	F2R	Shared
SYNE1	STXBP5L	Shared
BRINP3	DLG2	Normal-specific
CLVS2	DLG2	Shared
CXCL14	DLG2	Tumor-specific
CASZ1	DLG2	Shared
DLG2	ABAT	Shared
CLVS2	NPY1R	Tumor-specific
CD24	NPY1R	Shared
HIST1H3I	NPY1R	Normal-specific
HIST1H4D	NPY1R	Shared
CYP1B1	NPY1R	Shared
BRINP3	SLC7A14	Shared
CXCL14	SLC7A14	Tumor-specific
POU4F2	SLC7A14	Tumor-specific
HIST1H3I	SLC7A14	Shared
HIST1H4L	SLC7A14	Shared
RBFOX1	SLC7A14	Shared
B4GALT6	SLC7A14	Shared
SCN3B	SLC7A14	Tumor-specific
RGMB	SLC7A14	Shared
RASGRF1	SLC7A14	Shared
MYRIP	SLC7A14	Shared
LDHB	SLC7A14	Tumor-specific
PCDHB6	SLC7A14	Shared
SLC7A14	F2R	Shared
GABRG1	KIF20A	Shared
HIST1H3B	KIF20A	Shared
HIST1H4L	KIF20A	Shared
HIST1H1B	KIF20A	Shared
